id,episode,scene,characters,dialogue
1,1,1,"Miki Koishikawa","Con Meiko"
2,1,1,"Miki Koishikawa","Después de las actividades del club me detuve en una cafetería con Yoko y las demás"
3,1,1,"Miki Koishikawa","Y resulto que en la mesa de al lado había un chico guapísimo"
4,1,1,"Miki Koishikawa","Pero su novia vino enseguida"
5,1,1,"Miki Koishikawa","Lo que me desilusionó bastante"
6,1,1,"Miki Koishikawa","Ay, En esta primavera estaré en mi tercer año de instituto"
7,1,1,"Miki Koishikawa","Es que nunca me sucederá nada emocionante"
8,1,1,"Miki Koishikawa","Por ejemplo"
9,1,1,"Miki Koishikawa","Amor, o algo así"
10,1,2,"Rumi Matsuura","Miki, ¿bajas a merendar?"
11,1,2,"Miki Koishikawa","Ya voy, ya voy"
12,1,2,"Rumi Matsuura","Mira Miki"
13,1,2,"Jin Koishikawa","No queremos que te sorprendas, pero"
14,1,2,"Miki's fathers","Pues verás, hemos decidido divorciarnos"
15,1,2,"Miki Koishikawa","Vaya, esto si es algo emocionante"
16,1,2,"Miki Koishikawa","¿Es una broma no?"
17,1,2,"Miki Koishikawa","¿Pero qué decís qué?"
18,1,2,"Miki Koishikawa","Creo que aquí comienzan mis días de sufrimiento"
19,1,3,"Miki Koishikawa","Mamá y Papá son idiotas"
20,1,3,"Meiko Akizuki","Ah es por eso no"
21,1,3,"Miki Koishikawa","Rayos, no puedo creerlo"
22,1,3,"Miki Koishikawa","Ya imagine que pasaba algo raro cuando usaron mi juego de té favorito"
23,1,3,"Miki Koishikawa","Pero esto va más allá de lo que pensé"
24,1,3,"Meiko Akizuki","¿Pero por qué?"
25,1,3,"Meiko Akizuki","Si tus padres se llevan muy bien entre ellos, ¿no es verdad?"
26,1,3,"Meiko Akizuki","Incluso hace poco que se fueron de vacaciones a Hawái y ellos solos"
27,1,3,"Miki Koishikawa","¡Ese dichoso viaje a Hawái ha sido la causa!"
28,1,4,"Miki Koishikawa","¡¿Matsuura?! ¿Quiénes son?"
29,1,4,"Rumi Matsuura","Una pareja que se alojaba en el mismo hotel que nosotros"
30,1,4,"Rumi Matsuura","Cómo tenían nuestra edad enseguida nos hicimos amigos"
31,1,4,"Jin Koishikawa","Y según fuimos conociéndonos"
32,1,4,"Jin Koishikawa","Descubrimos que tu madre se estaba enamorando del señor Matsuura, y yo de su mujer"
33,1,4,"Miki Koishikawa",Enamorarse
34,1,4,"Rumi Matsuura","Eso es"
35,1,4,"Jin Koishikawa","Si, entre los cuatro lo estuvimos discutiendo"
36,1,4,"Jin Koishikawa","Y entonces decidimos que lo mejor sería intercambiarnos las parejas"
37,1,4,"Miki Koishikawa","¡¿Intercambiaros las parejas?!, no puedo creerlo, ¡es la cosa más ridícula que he oído en mi vida!"
38,1,4,"Jin Koishikawa","Tal vez esta historia suena un poco extraña"
39,1,4,"Rumi Matsuura","Pero esto no significa que tu padre y yo, ya no nos amemos, todavía nos queremos mucho, ¿verdad Jin?"
40,1,4,"Rumi Matsuura","Pero más que amor de verdad sería una buena amistad, ¿no crees?"
41,1,4,"Jin Koishikawa","Claro, y si lo piensas antes de casarnos, ya éramos mejor amigos que novios"
42,1,4,"Rumi Matsuura","Si, además si esto le hubiese pasado solo a uno hubiera sido distinto"
43,1,4,"Jin Koishikawa","Ajá, así no hay ningún problema"
44,1,4,"Miki Koishikawa","¡Esto no tiene ninguna gracia!"
45,1,4,"Miki Koishikawa","Recuperar el sentido común"
46,1,4,"Rumi Matsuura","Creemos que  lo que tu padre y yo sentimos por los Matsuura puede ser algo muy importante para todos"
47,1,4,"Rumi Matsuura","Te lo ruego por favor, perdónanos"
48,1,5,"Miki Koishikawa","No puedo perdonarles"
49,1,5,"Meiko Akizuki","Eso es, ¡mantente firme!"
50,1,5,"Miki Koishikawa","Sé que mis padres siempre han sido muy modernos y muy raros, pero esto ya es pasarse, me niego a perdonarlos, Meiko"
51,1,5,"Meiko Akizuki","Qué dices, pero si son gente de lo más simpática, me caen muy bien"
52,1,5,"Miki Koishikawa","Porque a ti no te afecta rica"
53,1,5,"Meiko Akizuki","Oye, te lo digo de verdad"
54,1,5,"Meiko Akizuki","Tus padres son mejores que los míos"
55,1,5,"Meiko Akizuki","Hace mucho que desapareció el amor que había entre ellos"
56,1,5,"Meiko Akizuki","De hecho los dos tienen amantes, pero nunca se divorciaran porque mi padre quiere guardar las apariencias"
57,1,5,"Meiko Akizuki","y mi madre mantener su nivel económico"
58,1,5,"Meiko Akizuki","Deberían divorciarse, pero ellos no entienden lo mucho que sufro al ver lo mal que se llevan"
